epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8994,2.49148,3.97263,1.81569,0.02411,0.00195,0.01309,0.0062,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,21.6862,2.29334,3.28715,1.57063,0.16155,0.03146,0.09448,0.04826,nan,nan,nan,0.000659765,0.000659765,0.000659765
3,32.2769,2.27937,2.80995,1.52201,0.17559,0.04364,0.10924,0.05289,nan,nan,nan,0.000748547,0.000748547,0.000748547
4,42.6792,2.25166,2.65301,1.46706,0.17125,0.04608,0.11,0.05144,nan,nan,nan,0.0005075,0.0005075,0.0005075
5,53.1798,2.23837,2.45233,1.47158,0.18333,0.04668,0.11636,0.05659,nan,nan,nan,0.00026,0.00026,0.00026
