epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1823,2.0917,1.88111,1.39001,0.21683,0.0543,0.13574,0.06653,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,22.1947,2.04469,1.81871,1.37015,0.22282,0.05441,0.14197,0.07266,nan,nan,nan,0.000659765,0.000659765,0.000659765
3,33.2138,2.07535,1.81149,1.38227,0.24847,0.05911,0.1544,0.07686,nan,nan,nan,0.000748547,0.000748547,0.000748547
4,44.5063,2.07341,1.82939,1.35228,0.24752,0.05755,0.14971,0.07505,nan,nan,nan,0.0005075,0.0005075,0.0005075
5,55.4098,2.0594,1.7659,1.37567,0.24547,0.05842,0.15088,0.07486,nan,nan,nan,0.00026,0.00026,0.00026
