epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45371,4.74759,4.9727,1.78947,0.0375,0.375,0.04391,0.02023,2.17468,3.3488,1.54681,0,0,0
2,2.28277,3.47556,4.47944,1.92601,0.03797,0.375,0.04595,0.02437,2.17209,3.35982,1.54786,1.23763e-05,1.23763e-05,1.23763e-05
3,3.24085,4.25574,5.11992,1.61218,0.0375,0.375,0.0478,0.02595,2.16347,3.35966,1.53221,2.4505e-05,2.4505e-05,2.4505e-05
4,4.15767,3.45516,4.61601,1.76139,0.03529,0.375,0.0495,0.02834,2.14612,3.36113,1.51726,3.63862e-05,3.63862e-05,3.63862e-05
5,5.16874,4.64854,5.02249,1.85976,0.03529,0.375,0.0495,0.02834,2.14612,3.36113,1.51726,4.802e-05,4.802e-05,4.802e-05
6,6.36184,3.33034,5.12065,1.92157,0.03846,0.375,0.0565,0.03784,2.12995,3.34854,1.50807,5.94062e-05,5.94062e-05,5.94062e-05
7,7.51692,2.43353,4.42512,1.37082,0.03846,0.375,0.0565,0.03784,2.12995,3.34854,1.50807,7.0545e-05,7.0545e-05,7.0545e-05
8,8.77204,4.00412,4.84037,1.64969,0.04225,0.375,0.06434,0.04191,2.02754,3.36812,1.51739,8.14362e-05,8.14362e-05,8.14362e-05
9,9.93863,3.84395,4.47997,1.58143,0.04225,0.375,0.06434,0.04191,2.02754,3.36812,1.51739,9.208e-05,9.208e-05,9.208e-05
10,11.0177,4.34128,4.80535,1.75157,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000102476,0.000102476,0.000102476
11,12.0217,2.96448,4.44663,1.59044,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000112625,0.000112625,0.000112625
12,13.1771,3.37394,4.89718,2.08314,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000122526,0.000122526,0.000122526
13,14.2099,2.92849,4.79132,1.97878,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.00013218,0.00013218,0.00013218
14,15.1629,3.22432,4.46725,1.54096,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.000141586,0.000141586,0.000141586
15,16.0637,3.02214,4.35851,1.60862,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.000150745,0.000150745,0.000150745
16,17.0577,2.89958,4.36872,1.62512,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000159656,0.000159656,0.000159656
17,17.9968,2.76853,4.37539,1.38707,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.00016832,0.00016832,0.00016832
18,18.9769,2.41081,4.64396,1.3808,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000176736,0.000176736,0.000176736
19,19.9614,3.05337,6.82064,2.17994,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000184905,0.000184905,0.000184905
20,21.0683,2.52225,4.25239,1.35001,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000192826,0.000192826,0.000192826
21,22.1944,2.59684,4.15499,1.2767,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.0002005,0.0002005,0.0002005
22,23.3605,3.30228,4.30169,1.30253,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000207926,0.000207926,0.000207926
23,24.3845,2.53275,4.74549,1.82697,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000215105,0.000215105,0.000215105
24,25.6867,4.83784,5.21697,1.80287,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000222036,0.000222036,0.000222036
25,26.8118,2.19084,4.0267,1.29608,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.00022872,0.00022872,0.00022872
26,27.8489,3.25167,4.31018,1.39026,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000235156,0.000235156,0.000235156
27,29.0176,2.71026,4.71632,1.73515,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000241345,0.000241345,0.000241345
28,30.0914,1.98736,3.96479,1.5049,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000247286,0.000247286,0.000247286
29,31.1941,1.91998,4.18774,1.33516,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.00025298,0.00025298,0.00025298
30,32.3045,3.48592,4.20692,1.42325,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.000258426,0.000258426,0.000258426
31,33.3995,3.39465,4.50791,1.34045,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.000263625,0.000263625,0.000263625
32,34.3934,2.49693,3.72306,1.29032,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.000268576,0.000268576,0.000268576
33,35.3551,2.37739,3.83639,1.33341,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.00027328,0.00027328,0.00027328
34,36.3292,2.27725,3.79639,1.16773,0.02273,0.25,0.03074,0.01897,1.94455,3.63061,1.74914,0.000277736,0.000277736,0.000277736
35,37.4793,5.22297,4.58472,1.96573,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000281945,0.000281945,0.000281945
36,38.7294,3.06139,3.91187,1.27528,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000285906,0.000285906,0.000285906
37,40.1281,1.94303,3.64038,1.44302,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.00028962,0.00028962,0.00028962
38,41.4432,1.91448,3.62323,1.22035,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000293086,0.000293086,0.000293086
39,42.5733,2.42254,3.43082,1.17135,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000296305,0.000296305,0.000296305
40,43.5243,2.17312,3.48008,1.19276,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000299276,0.000299276,0.000299276
41,44.436,2.02411,3.21411,1.19827,0.03297,0.375,0.05437,0.02481,1.99541,3.63643,1.72517,0.000302,0.000302,0.000302
42,45.4631,1.95708,3.50443,1.22984,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000304476,0.000304476,0.000304476
43,46.5216,1.24857,4.69663,1.13596,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000306705,0.000306705,0.000306705
44,47.5266,3.81392,3.6853,1.42741,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000308686,0.000308686,0.000308686
45,48.5632,1.83448,4.32835,1.15533,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.00031042,0.00031042,0.00031042
46,49.5293,1.72071,3.21565,1.15713,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000311906,0.000311906,0.000311906
47,50.5134,2.5806,3.55361,1.23791,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000313145,0.000313145,0.000313145
48,51.5292,3.62236,3.60418,1.53962,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.000314136,0.000314136,0.000314136
49,52.5651,2.08032,3.61627,1.30714,0.02381,0.25,0.03132,0.01792,2.10459,3.71663,1.87369,0.00031488,0.00031488,0.00031488
50,53.6139,2.23254,3.16746,1.11144,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000315376,0.000315376,0.000315376
51,54.6499,3.25257,3.30439,1.20347,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000315625,0.000315625,0.000315625
52,55.717,2.61281,3.3585,1.1618,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000315626,0.000315626,0.000315626
53,56.8461,1.55505,3.8018,1.12378,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.00031538,0.00031538,0.00031538
54,57.9991,3.16332,5.54132,1.80374,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000314886,0.000314886,0.000314886
55,58.9851,1.92352,3.26882,1.08677,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000314145,0.000314145,0.000314145
56,59.9554,2.17009,3.86039,1.34685,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000313156,0.000313156,0.000313156
57,60.9852,1.85182,3.22116,1.32409,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.00031192,0.00031192,0.00031192
58,62.0442,2.00987,3.16472,1.23148,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000310436,0.000310436,0.000310436
59,63.1089,1.40987,3.83389,1.11626,0.02326,0.25,0.01999,0.01123,2.18016,3.82201,2.0447,0.000308705,0.000308705,0.000308705
60,64.282,2.88221,5.10472,1.33411,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.000306726,0.000306726,0.000306726
61,65.3144,1.73705,3.01822,1.18364,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.0003045,0.0003045,0.0003045
62,66.3416,2.24956,3.47104,1.36862,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.000302026,0.000302026,0.000302026
63,67.3807,2.56131,3.09767,1.18513,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.000299305,0.000299305,0.000299305
64,68.4198,3.77625,3.51168,1.25312,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.000296336,0.000296336,0.000296336
65,69.4259,1.59591,2.93638,1.11749,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.00029312,0.00029312,0.00029312
66,70.593,2.42311,3.15218,1.20496,0.02469,0.25,0.02849,0.01588,2.24349,3.83734,2.15363,0.000289656,0.000289656,0.000289656
