epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.949,2.4762,3.96063,1.80107,0.01071,0.00059,0.00781,0.00355,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,30.5269,2.31403,3.29962,1.60613,0.18895,0.03216,0.10938,0.05402,nan,nan,nan,0.000659765,0.000659765,0.000659765
3,44.5809,2.26027,2.76002,1.52723,0.19575,0.04491,0.12117,0.05737,nan,nan,nan,0.000748547,0.000748547,0.000748547
4,58.6459,2.22622,2.60571,1.49161,0.17887,0.04744,0.11657,0.05289,nan,nan,nan,0.0005075,0.0005075,0.0005075
5,73.2222,2.21542,2.45803,1.46169,0.18109,0.04755,0.1185,0.05573,nan,nan,nan,0.00026,0.00026,0.00026
