epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9578,2.49148,3.97263,1.81569,0.02411,0.00195,0.01309,0.0062,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,23.396,2.29524,3.23515,1.56426,0.16813,0.03576,0.09994,0.04837,nan,nan,nan,0.000814505,0.000814505,0.000814505
3,34.4346,2.29557,2.70863,1.51457,0.15952,0.04274,0.1038,0.04817,nan,nan,nan,0.00121478,0.00121478,0.00121478
4,45.4661,2.29551,2.48075,1.46115,0.19092,0.04768,0.11667,0.05403,nan,nan,nan,0.00121287,0.00121287,0.00121287
5,56.6001,2.28009,2.22061,1.46816,0.18617,0.0493,0.11769,0.05804,nan,nan,nan,0.0012005,0.0012005,0.0012005
6,67.802,2.27514,2.08125,1.47248,0.19515,0.05194,0.12299,0.05977,nan,nan,nan,0.00118812,0.00118812,0.00118812
7,78.8436,2.25178,2.00859,1.43711,0.21092,0.05391,0.13224,0.06573,nan,nan,nan,0.00117575,0.00117575,0.00117575
8,90.0245,2.19074,1.89435,1.43809,0.24544,0.05627,0.15042,0.07597,nan,nan,nan,0.00116337,0.00116337,0.00116337
9,103.058,2.16233,1.84331,1.42415,0.25663,0.05656,0.15683,0.0795,nan,nan,nan,0.001151,0.001151,0.001151
10,116.09,2.15279,1.79129,1.40467,0.25956,0.05726,0.15483,0.07501,nan,nan,nan,0.00113863,0.00113863,0.00113863
11,128.343,2.15095,1.72886,1.41333,0.23918,0.05541,0.14633,0.07414,nan,nan,nan,0.00112625,0.00112625,0.00112625
12,140.494,2.0685,1.66303,1.39511,0.23083,0.05443,0.14348,0.07364,nan,nan,nan,0.00111388,0.00111388,0.00111388
13,152.734,2.05313,1.66345,1.37824,0.23374,0.05362,0.13696,0.06823,nan,nan,nan,0.0011015,0.0011015,0.0011015
14,164.759,2.02868,1.62644,1.36304,0.21918,0.05538,0.139,0.07255,nan,nan,nan,0.00108913,0.00108913,0.00108913
15,176.175,2.01062,1.58666,1.37199,0.24369,0.05599,0.1509,0.07837,nan,nan,nan,0.00107675,0.00107675,0.00107675
16,187.398,1.98674,1.58324,1.38973,0.24445,0.05609,0.15141,0.07742,nan,nan,nan,0.00106437,0.00106437,0.00106437
17,199.089,1.9943,1.57272,1.35469,0.25634,0.05618,0.15515,0.0752,nan,nan,nan,0.001052,0.001052,0.001052
18,216.398,1.99257,1.56676,1.34771,0.26453,0.05765,0.16225,0.0826,nan,nan,nan,0.00103962,0.00103962,0.00103962
19,230.615,1.97123,1.52357,1.3564,0.27732,0.05668,0.16682,0.0865,nan,nan,nan,0.00102725,0.00102725,0.00102725
20,242.827,1.95484,1.51294,1.36121,0.24687,0.05747,0.15122,0.07446,nan,nan,nan,0.00101488,0.00101488,0.00101488
21,257.446,1.92172,1.50858,1.33441,0.23379,0.05767,0.14525,0.07521,nan,nan,nan,0.0010025,0.0010025,0.0010025
22,268.921,1.88474,1.46072,1.32599,0.25486,0.05824,0.15457,0.07961,nan,nan,nan,0.000990125,0.000990125,0.000990125
23,280.413,1.87764,1.48019,1.32104,0.25487,0.05677,0.15618,0.08094,nan,nan,nan,0.00097775,0.00097775,0.00097775
24,294.551,1.88272,1.45437,1.30504,0.25208,0.05862,0.15635,0.07939,nan,nan,nan,0.000965375,0.000965375,0.000965375
25,307.905,1.87765,1.45356,1.32571,0.27686,0.05941,0.16216,0.08126,nan,nan,nan,0.000953,0.000953,0.000953
26,319.802,1.85172,1.44539,1.31646,0.2796,0.05844,0.17057,0.09051,nan,nan,nan,0.000940625,0.000940625,0.000940625
27,331.867,1.83778,1.41656,1.32114,0.25477,0.05883,0.16012,0.08331,nan,nan,nan,0.00092825,0.00092825,0.00092825
28,343.561,1.83815,1.41802,1.30789,0.23773,0.05736,0.15104,0.07981,nan,nan,nan,0.000915875,0.000915875,0.000915875
29,354.603,1.86151,1.42821,1.32383,0.29134,0.05735,0.15801,0.08132,nan,nan,nan,0.0009035,0.0009035,0.0009035
30,365.778,1.81085,1.39221,1.30359,0.25393,0.05911,0.15643,0.07987,nan,nan,nan,0.000891125,0.000891125,0.000891125
31,382.776,1.86809,1.39372,1.31936,0.2716,0.05776,0.16635,0.08903,nan,nan,nan,0.00087875,0.00087875,0.00087875
32,393.522,1.83958,1.39525,1.31934,0.2604,0.05747,0.15962,0.08373,nan,nan,nan,0.000866375,0.000866375,0.000866375
33,405.3,1.78082,1.39379,1.28244,0.25199,0.05833,0.15606,0.07973,nan,nan,nan,0.000854,0.000854,0.000854
34,417.057,1.80769,1.39401,1.31678,0.26059,0.0597,0.15986,0.08134,nan,nan,nan,0.000841625,0.000841625,0.000841625
35,428.551,1.80126,1.35094,1.28924,0.27014,0.05903,0.16435,0.08605,nan,nan,nan,0.00082925,0.00082925,0.00082925
36,440.99,1.79892,1.39994,1.29333,0.24536,0.05599,0.15335,0.08158,nan,nan,nan,0.000816875,0.000816875,0.000816875
37,452.532,1.78591,1.374,1.29068,0.25121,0.05844,0.15692,0.08195,nan,nan,nan,0.0008045,0.0008045,0.0008045
38,464.624,1.75755,1.33387,1.26062,0.27284,0.05835,0.16655,0.08844,nan,nan,nan,0.000792125,0.000792125,0.000792125
39,476.786,1.75441,1.34959,1.26778,0.29544,0.06021,0.17767,0.0933,nan,nan,nan,0.00077975,0.00077975,0.00077975
