epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4634,2.47535,3.33298,1.70452,0.09909,0.01503,0.05793,0.02504,nan,nan,nan,0.000546557,0.000546557,0.000546557
2,40.2187,2.37076,2.20221,1.49565,0.17632,0.02468,0.09784,0.04203,nan,nan,nan,0.00109131,0.00109131,0.00109131
3,59.9121,2.34824,1.91466,1.44225,0.22305,0.03223,0.12602,0.05392,nan,nan,nan,0.00162506,0.00162506,0.00162506
4,78.0977,2.27397,1.76054,1.45271,0.23324,0.03257,0.1334,0.06142,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,96.3451,2.22695,1.6989,1.43108,0.24569,0.0347,0.14034,0.06164,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,114.53,2.14843,1.56194,1.39231,0.23931,0.03502,0.13776,0.06297,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,132.039,2.16911,1.56122,1.40075,0.25879,0.03601,0.14618,0.06469,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,150.856,2.07101,1.50801,1.37927,0.24778,0.03601,0.14451,0.06858,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,176.432,2.04912,1.4465,1.34606,0.26075,0.03634,0.14925,0.0688,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,193.923,2.00123,1.43892,1.36523,0.26355,0.03635,0.15102,0.07338,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,211.358,2.03579,1.44223,1.35525,0.2519,0.03585,0.14401,0.06677,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,229.075,1.94819,1.38063,1.32125,0.25653,0.03601,0.14749,0.07175,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,246.852,1.97784,1.4308,1.36242,0.25827,0.03667,0.14784,0.06892,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,263.676,1.97492,1.39466,1.33573,0.27395,0.03651,0.15576,0.07403,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,281.19,1.93889,1.38441,1.34003,0.25749,0.03618,0.14791,0.06987,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,298.525,1.92764,1.37953,1.32815,0.25793,0.03732,0.14922,0.07386,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,315.974,1.91554,1.35874,1.32419,0.25306,0.03634,0.14369,0.07159,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,333.572,1.91706,1.36361,1.32751,0.27006,0.03814,0.15531,0.07926,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,354.104,1.86896,1.36625,1.31671,0.2789,0.03847,0.1595,0.07768,nan,nan,nan,0.00136994,0.00136994,0.00136994
20,374.339,1.89333,1.32982,1.30845,0.26724,0.03798,0.15325,0.07785,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,393.395,1.8466,1.339,1.30566,0.28105,0.03814,0.16097,0.08084,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,418.066,1.90155,1.36561,1.32817,0.26932,0.03782,0.15583,0.07983,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,435.948,1.85163,1.3176,1.28559,0.26446,0.03716,0.15364,0.07882,nan,nan,nan,0.00130393,0.00130393,0.00130393
24,453.299,1.85835,1.38771,1.31433,0.28221,0.03847,0.16233,0.08206,nan,nan,nan,0.00128742,0.00128742,0.00128742
25,471.926,1.83333,1.32053,1.28894,0.26883,0.03814,0.15495,0.08006,nan,nan,nan,0.00127092,0.00127092,0.00127092
