epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,491.558,1.81867,1.33729,1.29453,0.28111,0.03716,0.15216,0.07979,nan,nan,nan,0.00125442,0.00125442,0.00125442
27,510.655,1.86006,1.33413,1.30753,0.27004,0.0383,0.15622,0.07933,nan,nan,nan,0.00123791,0.00123791,0.00123791
28,530.76,1.84025,1.32202,1.27967,0.26631,0.03847,0.15452,0.08049,nan,nan,nan,0.00122141,0.00122141,0.00122141
29,548.628,1.8409,1.33783,1.29764,0.28598,0.0383,0.15573,0.07905,nan,nan,nan,0.00120491,0.00120491,0.00120491
30,565.679,1.7953,1.33915,1.2883,0.26848,0.0383,0.15485,0.07723,nan,nan,nan,0.0011884,0.0011884,0.0011884
31,582.888,1.87141,1.34374,1.30192,0.2719,0.03782,0.15675,0.07899,nan,nan,nan,0.0011719,0.0011719,0.0011719
32,600.606,1.78066,1.29252,1.26091,0.2738,0.03847,0.15855,0.07923,nan,nan,nan,0.0011554,0.0011554,0.0011554
33,618.737,1.85514,1.34378,1.31641,0.27631,0.03912,0.15969,0.07941,nan,nan,nan,0.00113889,0.00113889,0.00113889
34,637.554,1.7823,1.27804,1.27276,0.26806,0.03814,0.15481,0.08352,nan,nan,nan,0.00112239,0.00112239,0.00112239
35,657.847,1.77022,1.32275,1.2856,0.28904,0.03847,0.15728,0.0819,nan,nan,nan,0.00110589,0.00110589,0.00110589
36,680.204,1.82322,1.31141,1.28416,0.27533,0.03896,0.15727,0.08382,nan,nan,nan,0.00108938,0.00108938,0.00108938
37,700.659,1.78886,1.30348,1.27206,0.28231,0.03896,0.16245,0.08488,nan,nan,nan,0.00107288,0.00107288,0.00107288
38,721.214,1.80525,1.31314,1.28417,0.27832,0.03912,0.1592,0.08242,nan,nan,nan,0.00105638,0.00105638,0.00105638
39,740.697,1.77612,1.30815,1.2784,0.27425,0.03912,0.15883,0.08151,nan,nan,nan,0.00103987,0.00103987,0.00103987
40,760.973,1.78083,1.32088,1.29659,0.268,0.03879,0.15522,0.08316,nan,nan,nan,0.00102337,0.00102337,0.00102337
41,781.011,1.79596,1.30354,1.2762,0.27571,0.03896,0.15905,0.08254,nan,nan,nan,0.00100687,0.00100687,0.00100687
42,800.362,1.76359,1.28506,1.24684,0.27607,0.03864,0.15934,0.08478,nan,nan,nan,0.000990365,0.000990365,0.000990365
43,819.674,1.73307,1.26133,1.24968,0.28166,0.03863,0.16176,0.08213,nan,nan,nan,0.000973861,0.000973861,0.000973861
44,838.412,1.75784,1.28294,1.26095,0.27002,0.03798,0.15652,0.08277,nan,nan,nan,0.000957358,0.000957358,0.000957358
45,857.648,1.71137,1.25575,1.23092,0.28205,0.03928,0.16265,0.08443,nan,nan,nan,0.000940855,0.000940855,0.000940855
46,876.743,1.74856,1.31833,1.27317,0.26442,0.0383,0.15289,0.07965,nan,nan,nan,0.000924352,0.000924352,0.000924352
47,896.428,1.7821,1.31957,1.27739,0.2785,0.0383,0.15609,0.0828,nan,nan,nan,0.000907848,0.000907848,0.000907848
48,915.947,1.75725,1.30528,1.27054,0.27904,0.0388,0.1609,0.08317,nan,nan,nan,0.000891345,0.000891345,0.000891345
49,934.972,1.73582,1.28213,1.25342,0.27822,0.0388,0.16083,0.08458,nan,nan,nan,0.000874842,0.000874842,0.000874842
50,953.426,1.75308,1.27363,1.26256,0.28114,0.03928,0.16253,0.08645,nan,nan,nan,0.000858338,0.000858338,0.000858338
51,971.585,1.69975,1.26174,1.24167,0.28316,0.03863,0.16132,0.08395,nan,nan,nan,0.000841835,0.000841835,0.000841835
52,990.778,1.74264,1.28411,1.26178,0.29315,0.03814,0.1566,0.08513,nan,nan,nan,0.000825332,0.000825332,0.000825332
53,1009.09,1.71936,1.26201,1.24216,0.2775,0.03929,0.16111,0.08472,nan,nan,nan,0.000808828,0.000808828,0.000808828
54,1027.66,1.75514,1.27824,1.25835,0.27946,0.03912,0.16158,0.08519,nan,nan,nan,0.000792325,0.000792325,0.000792325
55,1052.36,1.75152,1.29099,1.25569,0.2819,0.03863,0.16256,0.08451,nan,nan,nan,0.000775822,0.000775822,0.000775822
56,1071.94,1.70386,1.28282,1.25149,0.27004,0.0383,0.15612,0.08469,nan,nan,nan,0.000759318,0.000759318,0.000759318
57,1090.07,1.72682,1.24756,1.23962,0.27683,0.03962,0.16067,0.08632,nan,nan,nan,0.000742815,0.000742815,0.000742815
58,1109.41,1.73001,1.2604,1.23361,0.29193,0.03912,0.16251,0.08616,nan,nan,nan,0.000726312,0.000726312,0.000726312
59,1128.4,1.73887,1.26813,1.24688,0.27764,0.03978,0.16095,0.08416,nan,nan,nan,0.000709809,0.000709809,0.000709809
60,1150.08,1.71216,1.24245,1.24306,0.28204,0.03962,0.16282,0.08658,nan,nan,nan,0.000693305,0.000693305,0.000693305
61,1169.81,1.71403,1.28244,1.24498,0.28779,0.03962,0.16127,0.08428,nan,nan,nan,0.000676802,0.000676802,0.000676802
62,1188.97,1.7193,1.27314,1.25554,0.29426,0.03945,0.16274,0.08705,nan,nan,nan,0.000660299,0.000660299,0.000660299
63,1208.26,1.68369,1.24857,1.23161,0.29889,0.03945,0.16309,0.08766,nan,nan,nan,0.000643795,0.000643795,0.000643795
64,1234.03,1.68463,1.25373,1.22975,0.28591,0.03994,0.16514,0.08727,nan,nan,nan,0.000627292,0.000627292,0.000627292
65,1252.24,1.72061,1.28048,1.25459,0.27548,0.03912,0.15923,0.08335,nan,nan,nan,0.000610789,0.000610789,0.000610789
66,1270.17,1.71686,1.25996,1.24639,0.29604,0.03896,0.16045,0.08828,nan,nan,nan,0.000594286,0.000594286,0.000594286
67,1289.04,1.70638,1.24047,1.2279,0.28134,0.03896,0.1604,0.08727,nan,nan,nan,0.000577782,0.000577782,0.000577782
68,1309.64,1.67092,1.23863,1.2269,0.29614,0.03896,0.16013,0.08712,nan,nan,nan,0.000561279,0.000561279,0.000561279
69,1328.45,1.69414,1.24776,1.2334,0.29105,0.04027,0.16793,0.08561,nan,nan,nan,0.000544776,0.000544776,0.000544776
70,1347.83,1.69691,1.24833,1.24066,0.27975,0.03978,0.16211,0.08916,nan,nan,nan,0.000528272,0.000528272,0.000528272
71,1366.83,1.71258,1.23003,1.22734,0.27946,0.03912,0.16122,0.08752,nan,nan,nan,0.000511769,0.000511769,0.000511769
72,1385.86,1.66581,1.24745,1.22454,0.27895,0.03945,0.16143,0.08513,nan,nan,nan,0.000495266,0.000495266,0.000495266
73,1407.07,1.67639,1.247,1.24489,0.27733,0.03929,0.16028,0.08716,nan,nan,nan,0.000478762,0.000478762,0.000478762
74,1426.06,1.65367,1.233,1.22651,0.27543,0.03929,0.15986,0.09093,nan,nan,nan,0.000462259,0.000462259,0.000462259
75,1445.09,1.66176,1.24025,1.22046,0.27881,0.03929,0.1611,0.08587,nan,nan,nan,0.000445756,0.000445756,0.000445756
76,1464.52,1.65165,1.24077,1.22029,0.27835,0.03945,0.16146,0.08856,nan,nan,nan,0.000429253,0.000429253,0.000429253
77,1484.35,1.62154,1.22429,1.20903,0.28382,0.04011,0.16363,0.08569,nan,nan,nan,0.000412749,0.000412749,0.000412749
78,1503,1.67962,1.22429,1.22573,0.28542,0.03994,0.16466,0.08752,nan,nan,nan,0.000396246,0.000396246,0.000396246
79,1521.82,1.65373,1.22576,1.21642,0.28325,0.03978,0.16308,0.09219,nan,nan,nan,0.000379743,0.000379743,0.000379743
80,1540.66,1.63762,1.24006,1.22155,0.28212,0.03961,0.16294,0.08726,nan,nan,nan,0.000363239,0.000363239,0.000363239
81,1559.22,1.67549,1.25575,1.24391,0.28304,0.03961,0.16235,0.08904,nan,nan,nan,0.000346736,0.000346736,0.000346736
82,1583.2,1.63034,1.26038,1.23362,0.2822,0.04011,0.16315,0.08822,nan,nan,nan,0.000330233,0.000330233,0.000330233
83,1601.06,1.62663,1.248,1.23842,0.27641,0.03962,0.15983,0.08821,nan,nan,nan,0.000313729,0.000313729,0.000313729
84,1619.46,1.67752,1.25699,1.23067,0.27955,0.03994,0.16154,0.08977,nan,nan,nan,0.000297226,0.000297226,0.000297226
85,1638.71,1.67673,1.25443,1.22383,0.27916,0.03994,0.16139,0.08822,nan,nan,nan,0.000280723,0.000280723,0.000280723
86,1657.22,1.61748,1.22213,1.20328,0.27705,0.03945,0.16047,0.0896,nan,nan,nan,0.00026422,0.00026422,0.00026422
87,1676.88,1.69107,1.23332,1.21861,0.27801,0.03929,0.16123,0.08903,nan,nan,nan,0.000247716,0.000247716,0.000247716
88,1702.62,1.63449,1.23544,1.21255,0.28245,0.03978,0.16398,0.08771,nan,nan,nan,0.000231213,0.000231213,0.000231213
89,1721.58,1.68465,1.25685,1.2291,0.28062,0.03994,0.16266,0.08909,nan,nan,nan,0.00021471,0.00021471,0.00021471
90,1741,1.63837,1.27002,1.24513,0.27633,0.03928,0.1597,0.08989,nan,nan,nan,0.000198206,0.000198206,0.000198206
91,1769.57,1.65307,1.30683,1.24007,0.27896,0.03978,0.16069,0.0883,nan,nan,nan,0.000181703,0.000181703,0.000181703
92,1787.68,1.6426,1.28265,1.24867,0.27444,0.03961,0.15971,0.0871,nan,nan,nan,0.0001652,0.0001652,0.0001652
93,1805.86,1.64469,1.28005,1.24093,0.27605,0.03945,0.1597,0.08569,nan,nan,nan,0.000148696,0.000148696,0.000148696
94,1830.11,1.64048,1.27234,1.2456,0.28049,0.03994,0.16245,0.08505,nan,nan,nan,0.000132193,0.000132193,0.000132193
95,1847.77,1.63655,1.27654,1.24861,0.27861,0.03994,0.16225,0.08584,nan,nan,nan,0.00011569,0.00011569,0.00011569
96,1866.77,1.62937,1.2589,1.23369,0.27801,0.03945,0.16215,0.08664,nan,nan,nan,9.91865e-05,9.91865e-05,9.91865e-05
97,1886.08,1.62066,1.26761,1.22897,0.27729,0.03945,0.16171,0.08734,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
98,1906.11,1.63717,1.27308,1.23529,0.27614,0.03945,0.16084,0.08685,nan,nan,nan,6.61799e-05,6.61799e-05,6.61799e-05
99,1925.21,1.61295,1.2476,1.21453,0.27776,0.03945,0.16153,0.08725,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
100,1943.94,1.62843,1.26896,1.2473,0.27659,0.03945,0.16107,0.08683,nan,nan,nan,3.31733e-05,3.31733e-05,3.31733e-05
