epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5554,3.25221,2.85063,2.33189,0.003,0.00097,0.00152,0.00023,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,27.0778,2.83302,2.44582,2.10454,0.1714,0.03228,0.10021,0.04191,nan,nan,nan,0.000768355,0.000768355,0.000768355
3,37.5042,2.75905,2.28659,1.97117,0.19378,0.04475,0.11913,0.05231,nan,nan,nan,0.00107573,0.00107573,0.00107573
4,48.0903,2.72102,2.19513,1.87574,0.20663,0.04767,0.12717,0.05768,nan,nan,nan,0.0010025,0.0010025,0.0010025
5,58.5061,2.63946,2.08243,1.86051,0.22467,0.04943,0.13763,0.06252,nan,nan,nan,0.00092,0.00092,0.00092
6,75.6951,2.49333,1.90795,1.7788,0.30581,0.05285,0.17611,0.08067,nan,nan,nan,0.0008375,0.0008375,0.0008375
7,86.4004,2.41794,1.84378,1.76295,0.3018,0.05403,0.17366,0.07805,nan,nan,nan,0.000755,0.000755,0.000755
8,96.8722,2.37148,1.79633,1.71242,0.2314,0.05392,0.14326,0.06823,nan,nan,nan,0.0006725,0.0006725,0.0006725
9,107.286,2.30529,1.73525,1.66952,0.24371,0.05402,0.14863,0.07113,nan,nan,nan,0.00059,0.00059,0.00059
10,117.676,2.27051,1.74193,1.71313,0.25389,0.05373,0.15338,0.07349,nan,nan,nan,0.0005075,0.0005075,0.0005075
11,127.893,2.24513,1.66845,1.63793,0.25499,0.05461,0.15505,0.07564,nan,nan,nan,0.000425,0.000425,0.000425
12,138.287,2.22879,1.67876,1.63487,0.25,0.05559,0.15314,0.07443,nan,nan,nan,0.0003425,0.0003425,0.0003425
13,148.769,2.23018,1.66256,1.63154,0.25343,0.0548,0.15438,0.07592,nan,nan,nan,0.00026,0.00026,0.00026
14,158.995,2.18624,1.65315,1.61627,0.25769,0.05559,0.157,0.07674,nan,nan,nan,0.0001775,0.0001775,0.0001775
15,169.382,2.20525,1.6543,1.61273,0.25406,0.05539,0.15549,0.07598,nan,nan,nan,9.5e-05,9.5e-05,9.5e-05
