epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1102,2.25868,2.38952,1.47338,0.20308,0.04844,0.12856,0.0623,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,22.2967,2.20021,2.18548,1.43667,0.21572,0.04994,0.13116,0.06691,nan,nan,nan,0.000659765,0.000659765,0.000659765
3,32.9662,2.17021,2.05996,1.4257,0.2545,0.05414,0.15323,0.07585,nan,nan,nan,0.000748547,0.000748547,0.000748547
4,44.2574,2.15738,2.02867,1.38934,0.23348,0.05636,0.14276,0.06993,nan,nan,nan,0.0005075,0.0005075,0.0005075
5,55.1927,2.12462,1.92835,1.40518,0.22325,0.05577,0.13842,0.07138,nan,nan,nan,0.00026,0.00026,0.00026
