epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.794,2.47156,3.96389,1.80058,0.02785,0.02977,0.02284,0.00943,2.15233,3.93825,1.60787,0.000405983,0.000405983,0.000405983
2,281.174,2.31393,3.29723,1.60629,0.18543,0.44655,0.28811,0.12967,2.22453,2.94606,1.59039,0.000659765,0.000659765,0.000659765
3,426.841,2.27044,2.75592,1.5299,0.5555,0.31585,0.38462,0.16685,2.23586,2.48899,1.57843,0.000748547,0.000748547,0.000748547
4,508.058,2.23218,2.61057,1.49216,0.4871,0.42298,0.42556,0.17988,2.2009,2.33794,1.5209,0.0005075,0.0005075,0.0005075
5,575.289,2.21814,2.45242,1.46351,0.52646,0.43785,0.44805,0.19385,2.15686,2.26837,1.49062,0.00026,0.00026,0.00026
